Robert Garrigus,Driving Distance,Driving Distance - (ROUNDS),71,2010
Bubba Watson,Driving Distance,Driving Distance - (ROUNDS),77,2010
Dustin Johnson,Driving Distance,Driving Distance - (ROUNDS),83,2010
Brett Wetterich,Driving Distance,Driving Distance - (ROUNDS),54,2010
J.B. Holmes,Driving Distance,Driving Distance - (ROUNDS),100,2010
John Daly,Driving Distance,Driving Distance - (ROUNDS),63,2010
Graham DeLaet,Driving Distance,Driving Distance - (ROUNDS),88,2010
Willie Wood,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2243,2012
Guy Boros,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2243,2012
Tom Lehman,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2244,2012
Jason Gore,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2246,2012
Paul Casey,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2250,2012
Len Mattiace,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2251,2012
Bart Bryant,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2251,2012
Craig Barlow,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2251,2012
Scott Verplank,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2252,2012
David Duval,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2253,2012
Gene Sauers,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2253,2012
Hank Kuehne,FedExCup Season Points,FedExCup Season Points - (POINTS BEHIND LEAD),2259,2012
Rocco Mediate,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),4,2016
Jack Newman,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),9,2016
Wes Short Jr.,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),15,2016
David Solomon,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),15,2016
Clement Sordet,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),4,2016
Garrett Willis,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),15,2016
Fabrizio Zanotti,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),6,2016
Frank Adams III,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),11,2016
Michael Block,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),14,2016
Keith Clearwater,Best YTD Streak w/o a 3-Putt,Best YTD Streak w/o a 3-Putt - (CURRENT STREAK),3,2016